profile_id,customer_id,email,loyalty_tier,marketing_opt_in,preferred_channel,birth_date,gender
CRMP-000395,CUST-001151, anna.bryant987@yahoo.com ,Bronze,Yes,In-Store,1941-02-11,MALE
CRMP-000844,CUST-002305,justin.gray717@hotmail.com,Silver,Yes,Mobile App,1993-12-31,Female
CRMP-001581,CUST-002487,lisa.joseph169@yahoo.com,Bronze,No,Mobile App,1986-12-06,Prefer not to say
CRMP-001091,CUST-001873,scott.moran15@yahoo.com,Gold,Yes,Mobile App,2002-07-12,Female
CRMP-001028,CUST-002125,angela.booker975@gmail.com,Platinum,Yes,Web,1947-11-01,Male
CRMP-000679,CUST-001081,sandra.norton658@yahoo.com,Silver,Yes,Marketplace,1971-05-28,Female
CRMP-001629,CUST-000783,christine.roth504@gmail.com,Bronze,Yes,In-Store,1965-10-26,Female
CRMP-000756,CUST-001197,rachel.miller843@yahoo.com,Platinum,Yes,Mobile App,1972-03-03,Female
CRMP-002720,CUST-001550,catherine.lee618@gmail.com,Silver,Yes,Web,1954-02-06,Female
CRMP-001283,CUST-002509,christopher.thompson856@yahoo.com,Silver,Yes,Web,1980-08-14,Male
CRMP-000029,CUST-001964,barbara.davis249@hotmail.com,Silver,Yes,Web,1958-02-01,Female
CRMP-001306,CUST-002838,megan.bautista229@yahoo.com,Platinum,No,Mobile App,1997-09-19,Female
CRMP-001684,CUST-002214,ashley.anderson543@hotmail.com,Gold,Yes,Mobile App,1942-01-14,Male
CRMP-001633,CUST-001766,patricia.turner484@gmail.com,Bronze,Yes,Marketplace,1963-01-19,Female
CRMP-002601,CUST-001906,barbara.burke935@yahoo.com,Silver,Yes,Mobile App,1957-10-25,Female
CRMP-002349,CUST-002578,megan.garcia102@gmail.com,Gold,Yes,Web,1994-05-21,Prefer not to say
CRMP-001441,CUST-000858,sandra.martin779@gmail.com,Gold,Yes,Web,2005-01-10,Female
CRMP-002597,CUST-000391,tyler.mora291@hotmail.com,Bronze,No,Web,1979-10-07,Male
CRMP-001141,CUST-001399,jennifer.flores527@yahoo.com,Silver,No,Marketplace,1985-08-27,Male
CRMP-000180,CUST-002268,matthew.price501@gmail.com,Bronze,Yes,Mobile App,1963-01-17,Female
CRMP-001103,CUST-001857,pedro.brown956@gmail.com,Gold,No,Mobile App,1959-12-18,Female
CRMP-001327,CUST-000159,catherine.foster434@yahoo.com   ,Silver,No,Web,1950-02-23,Male
CRMP-002025,CUST-001631,craig.sanchez5@yahoo.com,Bronze,No,Web,1989-03-21,Male
CRMP-001436,CUST-000492,paul.gomez816@yahoo.com,Silver,No,In-Store,1967-10-12,Male
CRMP-002781,CUST-001557,jonathan.wiley376@gmail.com,Gold,No,Web,1956-10-01,Female
CRMP-001820,CUST-002588,michelle.ward742@gmail.com,Silver,No,Web,1955-05-20,Male
CRMP-000484,CUST-002836,antonio.costa968@gmail.com,Gold,Yes,Web,1965-04-12,Male
CRMP-001853,CUST-000150,david.miller579@hotmail.com,Silver,Yes,Web,1979-01-06,Female
CRMP-001641,CUST-000759,steven.valenzuela563@gmail.com,Bronze,No,Marketplace,1985-05-11,Female
CRMP-000690,CUST-000511,scott.hunt290@hotmail.com,Bronze,No,Web,2006-04-25,Female
CRMP-002209,CUST-001755,rhonda.smith611@gmail.com,Bronze,No,Web,1957-02-12,Female
CRMP-002789,CUST-000903,lisa.todd617@hotmail.com,Silver,Yes,Web,1949-10-23,Male
CRMP-001465,CUST-000613,derrick.bennett777@gmail.com,Bronze,Yes,Marketplace,1972-11-07,Female
CRMP-001367,CUST-001474,heather.cochran126@yahoo.com,Silver,No,Mobile App,1984-08-11,Female
CRMP-002013,CUST-000406,danielle.torres265@gmail.com,Bronze,No,In-Store,1998-07-27,male
CRMP-000832,CUST-001348,daniel.cohen496@yahoo.com,Silver,Yes,Web,2007-03-26,Female
CRMP-002001,CUST-001479,bryan.torres688@yahoo.com,Bronze,Yes,Web,1969-11-09,Male
CRMP-002051,CUST-001752,abigail.salinas385@hotmail.com,Silver,Yes,Mobile App,2003-05-15,female
CRMP-000441,CUST-001342,gary.torres273@gmail.com,Bronze,No,Marketplace,2006-01-26,Male
CRMP-002562,CUST-000809,timothy.simon676@gmail.com,Silver,No,Mobile App,2001-02-08,Male
CRMP-002609,CUST-000542,victoria.callahan953@hotmail.com,Bronze,No,Web,03/19/1949,Male
CRMP-000257,CUST-969713,kerryaguirre@example.net,Bronze,Yes,Web,1988-11-24,Female
CRMP-001822,CUST-001416,katherine.winters130@yahoo.com,Platinum,No,Web,"April 04, 2002",Female
